year,DATE,SPDYNLE00INUSA
1960,1/1/1960,69.77073171
1961,1/1/1961,70.27073171
1962,1/1/1962,70.1195122
1963,1/1/1963,69.91707317
1964,1/1/1964,70.16585366
1965,1/1/1965,70.21463415
1966,1/1/1966,70.21219512
1967,1/1/1967,70.56097561
1968,1/1/1968,69.95121951
1969,1/1/1969,70.50731707
1970,1/1/1970,70.80731707
1971,1/1/1971,71.10731707
1972,1/1/1972,71.15609756
1973,1/1/1973,71.35609756
1974,1/1/1974,71.95609756
1975,1/1/1975,72.60487805
1976,1/1/1976,72.85609756
1977,1/1/1977,73.25609756
1978,1/1/1978,73.35609756
1979,1/1/1979,73.80487805
1980,1/1/1980,73.6097561
1981,1/1/1981,74.0097561
1982,1/1/1982,74.36097561
1983,1/1/1983,74.46341463
1984,1/1/1984,74.56341463
1985,1/1/1985,74.56341463
1986,1/1/1986,74.61463415
1987,1/1/1987,74.76585366
1988,1/1/1988,74.76585366
1989,1/1/1989,75.01707317
1990,1/1/1990,75.21463415
1991,1/1/1991,75.36585366
1992,1/1/1992,75.61707317
1993,1/1/1993,75.4195122
1994,1/1/1994,75.6195122
1995,1/1/1995,75.62195122
1996,1/1/1996,76.02682927
1997,1/1/1997,76.42926829
1998,1/1/1998,76.5804878
1999,1/1/1999,76.58292683
2000,1/1/2000,76.63658537
2001,1/1/2001,76.83658537
2002,1/1/2002,76.93658537
2003,1/1/2003,77.03658537
2004,1/1/2004,77.48780488
2005,1/1/2005,77.48780488
2006,1/1/2006,77.68780488
2007,1/1/2007,77.98780488
2008,1/1/2008,78.03902439
2009,1/1/2009,78.3902439
2010,1/1/2010,78.54146341
2011,1/1/2011,78.64146341
2012,1/1/2012,78.74146341
2013,1/1/2013,78.84146341
2014,1/1/2014,78.94146341
